student_id,course_id,date
S08797,C023,2024-10-05
S03489,C027,2025-07-27
S07449,C039,2024-04-05
S09504,C024,2025-01-07
S03921,C001,2024-04-27
S08458,C018,2024-07-16
S02825,C021,2025-10-17
S03095,C017,2025-01-22
S09937,C001,2025-08-26
S04533,C047,2024-01-14
S06575,C004,2024-02-16
S09175,C035,2025-01-02
S03617,C008,2024-11-03
S06805,C024,2025-10-05
S05174,C011,2024-07-11
S03540,C004,2025-11-25
S03561,C009,2025-06-30
S04580,C018,2025-01-31
S06741,C044,2025-02-10
S00173,C040,2024-02-12
S07197,C050,2024-01-17
S01824,C021,2024-11-18
S03669,C008,2024-11-16
S05108,C022,2024-02-03
S07751,C027,2025-01-08
S09675,C012,2025-05-29
S07552,C049,2025-12-04
S08025,C022,2024-03-18
S04317,C006,2025-10-04
S06357,C017,2024-05-24
S01224,C041,2024-01-01
S05388,C029,2024-02-08
S02887,C008,2023-12-18
S09512,C027,2025-07-17
S01702,C029,2024-01-06
S07560,C043,2024-09-09
S07310,C036,2024-09-29
S07408,C006,2025-01-14
S03906,C014,2024-05-15
S05918,C014,2024-08-10
S02647,C002,2024-11-23
S09108,C039,2024-11-09
S06792,C004,2025-02-09
S09031,C050,2023-12-16
S07402,C032,2024-05-05
S03183,C032,2025-02-20
S05415,C037,2025-08-27
S00908,C040,2024-06-19
S07650,C039,2024-01-26
S04218,C026,2025-04-12
S02183,C045,2024-07-07
S02010,C014,2024-10-30
S07152,C031,2024-01-30
S00161,C007,2024-08-15
S09929,C027,2025-08-17
S05702,C046,2025-11-28
S05652,C007,2025-06-14
S04213,C024,2024-05-09
S01216,C045,2025-06-09
S02171,C040,2024-02-18
S03882,C047,2023-12-21
S01972,C046,2025-07-14
S01919,C024,2025-06-18
S04892,C022,2024-08-15
S05357,C021,2025-09-11
S04391,C039,2025-08-20
S06725,C023,2025-05-28
S02369,C002,2025-10-25
S03108,C019,2024-12-29
S01232,C007,2024-10-22
S07946,C016,2024-08-07
S03469,C032,2024-07-18
S01036,C026,2024-07-04
S01758,C046,2024-01-01
S01400,C043,2025-08-03
S00053,C023,2025-01-14
S08570,C018,2024-11-27
S01953,C048,2025-02-08
S07254,C013,2025-07-22
S08668,C041,2024-08-12
S07528,C040,2024-03-31
S07582,C033,2025-08-10
S01365,C042,2025-08-22
S09106,C035,2025-09-19
S01875,C043,2025-06-23
S06287,C016,2025-09-23
S06068,C037,2024-05-06
S07159,C024,2024-07-12
S06897,C005,2025-01-13
S05579,C018,2024-06-23
S01917,C006,2024-01-19
S09220,C026,2024-08-19
S01740,C045,2025-03-06
S07467,C021,2025-05-30
S00323,C011,2024-02-16
S09036,C015,2024-03-22
S08680,C043,2024-11-28
S04219,C024,2023-12-27
S04848,C001,2024-11-16
S01514,C048,2024-08-04
S05335,C034,2025-07-05
S06677,C011,2024-06-10
S07874,C047,2025-01-16
S06108,C047,2024-11-12
S07537,C043,2024-07-31
S05512,C039,2025-06-19
S04286,C014,2024-12-08
S07136,C013,2025-10-24
S01368,C043,2024-03-06
S04361,C012,2024-09-26
S06176,C027,2025-10-15
S05505,C020,2025-06-11
S07480,C035,2023-12-10
S08519,C031,2024-09-04
S00986,C023,2024-08-07
S08694,C013,2025-07-03
S02573,C014,2024-01-20
S09186,C023,2024-01-17
S06399,C014,2024-06-10
S04764,C011,2024-01-26
S07862,C032,2025-10-06
S01196,C005,2025-10-03
S01814,C005,2025-09-01
S02390,C005,2024-02-13
S06773,C001,2025-10-05
S08326,C040,2025-08-27
S07650,C009,2024-06-22
S04745,C016,2023-12-29
S05974,C015,2024-11-02
S07334,C049,2024-02-10
S08312,C044,2024-12-28
S06088,C016,2024-07-22
S01197,C035,2024-03-16
S04460,C039,2024-10-08
S08659,C013,2024-01-19
S08457,C041,2024-05-24
S09254,C014,2025-09-02
S07382,C025,2025-11-13
S01199,C012,2023-12-14
S04214,C014,2025-11-12
S04897,C034,2025-10-30
S03754,C046,2024-04-07
S06234,C006,2024-09-14
S09543,C009,2025-03-14
S06729,C002,2025-10-06
S08677,C016,2024-04-17
S02665,C049,2025-05-23
S07190,C047,2025-07-18
S04631,C013,2024-02-06
S04183,C048,2024-01-16
S04228,C019,2025-03-18
S03229,C016,2025-10-13
S08039,C037,2025-05-26
S00448,C042,2024-03-23
S08409,C040,2025-01-22
S06676,C043,2025-07-26
S09721,C017,2025-06-23
S08537,C049,2025-06-08
S02599,C010,2024-09-14
S01411,C032,2024-10-02
S05463,C003,2025-04-28
S07946,C015,2024-03-15
S02622,C046,2024-07-09
S05469,C034,2024-04-18
S00069,C038,2025-03-08
S04387,C029,2024-02-08
S09089,C007,2024-01-18
S00819,C049,2024-06-25
S02823,C003,2024-02-16
S05206,C002,2025-09-24
S09678,C049,2025-03-06
S01227,C002,2025-08-17
S04760,C031,2024-12-11
S06124,C026,2025-01-26
S09048,C030,2024-10-24
S04292,C044,2025-02-10
S05697,C042,2025-11-18
S00461,C035,2024-12-02
S01349,C043,2025-07-15
S09535,C004,2025-04-16
S01748,C010,2025-01-08
S04085,C049,2024-11-17
S06800,C003,2024-08-20
S06957,C024,2025-07-23
S07547,C004,2025-04-06
S08557,C009,2025-11-11
S04840,C023,2024-07-10
S06366,C003,2024-08-19
S00743,C035,2025-01-18
S08228,C029,2024-03-08
S05719,C038,2025-02-01
S03073,C017,2024-12-18
S05566,C006,2025-04-08
S08018,C005,2024-11-16
S08552,C003,2023-12-30
S01022,C023,2025-02-20
S04570,C033,2024-10-20
S02333,C026,2024-06-09
S02953,C040,2024-05-02
S07525,C002,2025-03-09
S04844,C026,2024-11-21
S06277,C004,2024-11-27
S09212,C036,2025-05-30
S07650,C047,2024-12-07
S08255,C014,2025-11-22
S00801,C043,2024-08-27
S03998,C029,2024-11-18
S01139,C023,2024-02-26
S05786,C024,2024-11-19
S09192,C011,2025-03-06
S08400,C002,2024-03-08
S08003,C037,2025-07-05
S02080,C005,2024-08-11
S05855,C038,2024-12-08
S02309,C048,2024-02-04
S05465,C005,2025-09-19
S02362,C029,2025-08-16
S08820,C012,2025-05-22
S05770,C036,2024-03-07
S01383,C005,2024-04-02
S04600,C047,2024-09-15
S05230,C026,2025-08-16
S07672,C006,2024-09-21
S03059,C019,2025-01-04
S05608,C010,2024-10-30
S00768,C030,2025-10-20
S03756,C029,2024-04-06
S02853,C025,2024-06-23
S05075,C010,2024-12-08
S04303,C032,2023-12-14
S04002,C003,2024-02-16
S09040,C039,2024-10-16
S08975,C037,2025-05-15
S03007,C012,2023-12-13
S02157,C022,2025-10-10
S09290,C002,2025-07-11
S02612,C039,2024-11-04
S01801,C036,2025-10-23
S04488,C040,2024-03-23
S00161,C033,2025-03-30
S01382,C044,2025-11-02
S05468,C011,2025-06-26
S02296,C010,2025-11-09
S00233,C045,2024-04-16
S03569,C046,2024-06-11
S02384,C028,2024-03-12
S07942,C007,2024-08-31
S06050,C034,2025-02-10
S09001,C042,2024-05-22
S01079,C028,2024-09-10
S06348,C012,2024-09-12
S03552,C008,2025-11-02
S01838,C026,2025-10-07
S01910,C023,2025-04-14
S00970,C006,2024-12-14
S06896,C017,2024-12-05
S08478,C028,2025-02-23
S08468,C023,2024-05-14
S05723,C034,2024-11-03
S09025,C045,2023-12-19
S09566,C049,2024-05-27
S01828,C032,2024-07-03
S09401,C048,2025-01-07
S08097,C027,2025-04-30
S09831,C039,2025-10-06
S00141,C028,2024-12-27
S07732,C038,2023-12-16
S08621,C036,2024-03-28
S06881,C008,2025-10-15
S08788,C049,2025-02-27
S02107,C045,2024-11-07
S00464,C013,2025-01-07
S06450,C050,2024-04-13
S05506,C024,2025-02-06
S07946,C050,2025-10-06
S06633,C018,2025-11-06
S04222,C050,2024-09-11
S07281,C050,2024-10-26
S09658,C013,2024-09-05
S03152,C023,2024-03-06
S01857,C014,2024-05-26
S04002,C003,2024-04-13
S02680,C002,2024-06-22
S04040,C004,2025-02-06
S02613,C001,2024-12-02
S09728,C035,2025-08-31
S05128,C029,2025-01-07
S06702,C044,2025-09-17
S02470,C050,2024-09-06
S02920,C008,2024-07-01
S01673,C003,2025-06-30
S01703,C046,2025-08-27
S09484,C039,2025-03-12
S09554,C025,2024-02-27
S05299,C014,2024-08-18
S09996,C050,2023-12-07
S06806,C029,2024-04-14
S08633,C039,2024-04-05
S02360,C008,2025-06-02
S05230,C029,2025-07-03
S03516,C041,2025-07-19
S09606,C030,2025-10-05
S00136,C031,2025-06-06
S05873,C047,2024-03-02
S00632,C016,2024-03-14
S03020,C010,2024-06-09
S08503,C023,2025-05-28
S02329,C032,2024-03-24
S00597,C022,2024-11-20
S09557,C040,2025-04-14
S09247,C030,2025-03-10
S05878,C037,2025-06-06
S08400,C006,2024-05-29
S06233,C039,2025-02-07
S02562,C044,2024-10-30
S00676,C025,2024-04-25
S08026,C033,2025-05-26
S07447,C042,2025-10-08
S00733,C009,2024-09-07
S04719,C029,2024-12-03
S06058,C004,2024-02-25
S07724,C046,2024-12-11
S05886,C027,2025-03-05
S08646,C040,2025-04-07
S04401,C041,2025-04-15
S05807,C046,2024-05-28
S08800,C007,2025-07-10
S09195,C039,2025-07-07
S06269,C013,2024-04-06
S08961,C016,2024-09-19
S00825,C044,2023-12-10
S00855,C045,2024-08-16
S04964,C008,2024-11-14
S02680,C006,2025-01-05
S07017,C015,2024-11-13
S05021,C018,2024-08-08
S08131,C030,2025-05-02
S03534,C028,2025-07-13
S05818,C024,2024-02-13
S08130,C047,2025-01-29
S02350,C001,2024-10-19
S08134,C028,2024-09-24
S07973,C050,2025-07-12
S06234,C017,2025-08-15
S09612,C016,2024-02-01
S04582,C043,2025-01-14
S09577,C003,2024-08-15
S03648,C047,2024-01-01
S08396,C033,2025-04-20
S00344,C013,2024-09-04
S03394,C010,2024-04-06
S00630,C042,2024-07-07
S06966,C001,2024-10-12
S02790,C048,2024-01-16
S04424,C049,2025-02-09
S05800,C024,2024-01-25
S09876,C021,2024-09-17
S07763,C046,2025-04-25
S03459,C045,2025-01-30
S07906,C013,2024-04-10
S03284,C030,2025-07-07
S05599,C004,2024-10-26
S08888,C030,2024-05-25
S05932,C012,2024-11-23
S03628,C008,2024-12-16
S03817,C009,2025-08-26
S01525,C029,2024-12-15
S06383,C001,2025-10-11
S07484,C032,2025-09-03
S01765,C050,2024-01-25
S04861,C009,2025-01-28
S06359,C031,2024-03-29
S07667,C022,2024-10-28
S06698,C049,2023-12-20
S08046,C022,2025-10-11
S06299,C021,2024-07-10
S04613,C042,2025-11-18
S02603,C005,2024-03-07
S04647,C009,2025-06-04
S03886,C024,2025-04-27
S04787,C008,2024-02-07
S06133,C017,2025-10-27
S04946,C032,2024-03-30
S08587,C012,2025-04-02
S01935,C041,2025-06-10
S08250,C012,2025-07-23
S01599,C041,2024-12-29
S00328,C004,2024-05-11
S00849,C028,2025-08-09
S05916,C024,2024-05-18
S08898,C014,2024-10-27
S08683,C007,2025-05-31
S02587,C034,2025-10-17
S05548,C001,2025-04-07
S01866,C041,2024-03-27
S04706,C038,2025-11-12
S07334,C044,2024-06-29
S05857,C024,2024-07-30
S00008,C035,2025-09-30
S07849,C026,2024-07-08
S06486,C007,2024-06-13
S01397,C035,2025-07-15
S09841,C026,2024-11-12
S02403,C020,2025-06-03
S04610,C036,2025-08-05
S04222,C031,2024-08-25
S02144,C006,2025-07-23
S08765,C015,2024-09-03
S08535,C030,2024-11-15
S01384,C028,2023-12-28
S08164,C037,2024-02-08
S01269,C007,2024-06-27
S04406,C005,2025-02-13
S03306,C009,2025-11-20
S05704,C025,2024-04-21
S09713,C014,2024-03-12
S02084,C048,2024-06-13
S06748,C019,2024-03-21
S08882,C004,2025-11-21
S04380,C035,2024-01-02
S06081,C035,2025-03-11
S09368,C050,2025-04-29
S04347,C040,2025-03-13
S03748,C033,2025-10-25
S06353,C009,2024-07-15
S07483,C004,2024-02-27
S03468,C004,2025-01-28
S04064,C038,2025-10-19
S05041,C014,2024-01-30
S08795,C016,2024-07-17
S06400,C004,2025-10-04
S09254,C039,2025-11-05
S04606,C041,2025-02-03
S03962,C016,2024-06-24
S07760,C016,2024-12-14
S07157,C015,2024-10-19
S07253,C018,2025-05-29
S02300,C025,2024-08-23
S00145,C030,2025-10-28
S07509,C009,2024-03-24
S05611,C018,2023-12-28
S05029,C017,2025-04-06
S01292,C023,2025-07-03
S04659,C019,2024-10-29
S07011,C002,2024-12-28
S03356,C005,2025-07-23
S04179,C004,2024-09-22
S04927,C006,2024-02-12
S00826,C032,2025-02-01
S08983,C031,2025-11-28
S05263,C036,2025-03-27
S08251,C035,2024-06-30
S05166,C016,2025-05-09
S04459,C022,2024-10-04
S00958,C021,2024-10-05
S07938,C021,2024-03-27
S05613,C048,2023-12-12
S02379,C015,2024-03-11
S06833,C005,2024-12-03
S03393,C044,2024-03-14
S07128,C027,2024-12-04
S09213,C048,2025-07-09
S05978,C022,2025-11-09
S04120,C035,2024-06-22
S06181,C047,2024-10-07
S06292,C007,2024-11-12
S05473,C048,2024-07-31
S08074,C012,2025-09-10
S03791,C024,2025-02-27
S06695,C010,2024-02-15
S02515,C021,2024-02-25
S04609,C004,2025-02-05
S03719,C024,2024-06-29
S04088,C046,2024-06-24
S02678,C050,2024-10-15
S08481,C046,2025-11-24
S08670,C010,2025-02-21
S05590,C025,2025-03-04
S01233,C046,2025-05-25
S02176,C024,2025-05-21
S08886,C025,2025-08-07
S09881,C014,2025-09-12
S02361,C047,2024-07-07
S09015,C003,2024-04-14
S01424,C022,2024-04-10
S06390,C013,2024-06-22
S02714,C003,2025-06-02
S09014,C047,2024-01-30
S05341,C015,2025-01-03
S06843,C038,2024-09-24
S06315,C025,2024-11-03
S04566,C046,2025-01-08
S04437,C047,2024-07-10
S03259,C046,2025-04-27
S09535,C019,2025-06-13
S01302,C029,2025-01-07
S05509,C011,2025-01-21
S07674,C047,2025-03-25
S07051,C009,2023-12-12
S02586,C028,2025-05-17
S00817,C031,2024-05-19
S01839,C025,2024-01-04
S01187,C021,2025-01-30
S04402,C015,2025-02-20
S04402,C008,2025-08-05
S04838,C022,2024-01-31
S05698,C031,2024-10-17
S01327,C022,2024-11-29
S04790,C038,2024-02-05
S07071,C032,2024-10-08
S06781,C003,2025-07-31
S03743,C042,2025-08-31
S09262,C007,2024-02-16
S01505,C043,2025-11-16
S08635,C048,2025-07-12
S07865,C013,2024-11-03
S02654,C008,2024-06-29
S00622,C027,2025-07-02
S01806,C015,2023-12-13
S02148,C045,2025-05-23
S03480,C050,2025-09-14
S03383,C016,2025-06-16
S06392,C045,2024-12-27
S05830,C049,2025-09-09
S08920,C032,2024-05-17
S09067,C006,2025-05-31
S01996,C009,2025-02-18
S08693,C017,2025-07-12
S09766,C007,2025-11-25
S02880,C036,2024-09-28
S02582,C011,2025-05-07
S04792,C048,2024-02-16
S01622,C033,2024-01-13
S06589,C005,2025-05-13
S03912,C011,2024-04-04
S00388,C035,2024-06-16
S09922,C023,2024-11-07
S03914,C022,2025-01-08
S01170,C037,2024-10-09
S07958,C050,2025-12-03
S09906,C038,2025-09-06
S06530,C040,2024-03-28
S03969,C005,2024-12-22
S04684,C022,2025-09-20
S04684,C006,2024-12-22
S04561,C045,2024-12-15
S00174,C026,2024-10-21
S09952,C045,2024-04-19
S06110,C030,2024-03-07
S07495,C010,2024-11-12
S01391,C019,2025-07-08
S03036,C041,2025-09-18
S03498,C003,2025-11-07
S00867,C035,2025-01-06
S04017,C048,2024-03-10
S09301,C022,2025-03-18
S04877,C020,2024-04-15
S01470,C032,2024-07-22
S04212,C024,2025-11-07
S00607,C040,2024-10-05
S01025,C005,2025-08-23
S08943,C023,2024-03-02
S07203,C036,2025-02-26
S00325,C029,2025-06-05
S09778,C048,2024-04-11
S08151,C004,2025-02-04
S00445,C006,2024-03-24
S05822,C009,2025-03-22
S08987,C023,2025-05-06
S06912,C011,2024-08-10
S00070,C016,2025-04-27
S00579,C046,2025-04-28
S09797,C032,2025-06-20
S05080,C023,2025-09-23
S04961,C027,2024-08-29
S01105,C014,2024-05-29
S04970,C039,2025-08-03
S02607,C025,2025-03-02
S08890,C025,2025-03-04
S06465,C039,2024-12-06
S08906,C009,2025-04-16
S00150,C038,2024-07-21
S01814,C011,2024-04-21
S03283,C002,2024-02-12
S08966,C018,2024-03-19
S00625,C031,2025-07-25
S08357,C002,2025-08-31
S05422,C016,2024-03-31
S07153,C002,2024-03-02
S02273,C009,2025-06-09
S05485,C027,2025-06-08
S01308,C001,2024-08-04
S08173,C046,2024-09-16
S01787,C050,2025-06-05
S02365,C043,2025-02-16
S09975,C025,2025-09-19
S00383,C044,2025-06-16
S02696,C025,2025-03-24
S05746,C011,2025-07-16
S00534,C041,2024-05-25
S08091,C042,2024-04-07
S01692,C047,2025-10-28
S04863,C047,2024-09-22
S04731,C041,2023-12-19
S03383,C022,2025-02-16
S06463,C034,2024-10-14
S05575,C030,2024-08-24
S09392,C050,2025-06-04
S07243,C024,2024-06-27
S01146,C040,2025-07-07
S07928,C012,2025-06-20
S08406,C048,2025-09-14
S01778,C046,2024-10-28
S00093,C038,2025-01-21
S07783,C030,2024-02-11
S08510,C030,2025-10-15
S00724,C020,2024-03-31
S00497,C032,2024-01-20
S09417,C038,2024-03-02
S04645,C024,2025-05-27
S01000,C025,2024-12-23
S08677,C044,2024-12-01
S08414,C045,2024-12-13
S01077,C044,2024-08-24
S04663,C042,2025-01-09
S02463,C015,2023-12-18
S02691,C047,2025-05-06
S08778,C026,2025-08-27
S05275,C038,2025-04-17
S00243,C005,2024-08-17
S01893,C009,2025-11-24
S04372,C043,2025-04-16
S02038,C012,2024-12-08
S02817,C039,2025-10-03
S08235,C010,2024-12-02
S03515,C050,2025-01-28
S06694,C035,2024-12-20
S06158,C027,2024-07-10
S04911,C015,2025-10-05
S00102,C024,2024-08-11
S04151,C038,2025-01-25
S03922,C031,2024-01-13
S08842,C029,2024-06-28
S04999,C014,2024-02-19
S08628,C012,2025-07-12
S04427,C041,2024-12-18
S04539,C002,2024-02-01
S07876,C026,2024-03-12
S01120,C028,2025-11-05
S09391,C038,2024-07-21
S03897,C019,2025-04-22
S03518,C007,2025-06-28
S05837,C025,2024-05-03
S05793,C002,2024-10-13
S03287,C006,2025-11-06
S02473,C001,2025-08-22
S01071,C048,2024-02-09
S06176,C050,2025-01-05
S08903,C029,2024-08-16
S03208,C032,2025-07-15
S02841,C047,2025-03-04
S00600,C013,2025-04-09
S09253,C022,2024-06-10
S09175,C013,2025-11-08
S04978,C016,2025-10-19
S05577,C036,2024-04-26
S03080,C040,2024-09-02
S02329,C037,2025-10-31
S08158,C016,2024-08-12
S09369,C012,2024-08-23
S05682,C002,2024-11-09
S06303,C048,2024-07-20
S03364,C032,2024-04-26
S06808,C033,2024-10-02
S00018,C037,2025-01-12
S04320,C037,2024-11-17
S05485,C004,2025-04-08
S07852,C043,2025-04-11
S09977,C048,2024-07-14
S05401,C016,2023-12-28
S05789,C048,2024-02-19
S07247,C038,2024-03-10
S05417,C048,2024-04-28
S07634,C004,2024-06-15
S02188,C040,2025-02-08
S04497,C003,2024-06-17
S04780,C032,2025-08-02
S06189,C003,2024-06-05
S02885,C018,2024-08-22
S02637,C012,2025-06-06
S03995,C020,2024-08-26
S06602,C017,2025-01-13
S03471,C022,2025-08-17
S09334,C016,2024-05-08
S00650,C024,2025-09-14
S07472,C033,2024-01-18
S04102,C027,2025-05-09
S03509,C031,2024-10-08
S02708,C004,2025-08-18
S08910,C042,2024-01-23
S04707,C021,2025-05-24
S05483,C031,2025-08-28
S06762,C046,2025-05-07
S03392,C033,2024-10-02
S00288,C020,2024-02-21
S00891,C036,2024-08-02
S06564,C015,2024-07-27
S02356,C020,2024-12-31
S02941,C038,2024-11-04
S01895,C006,2024-12-24
S07712,C036,2025-05-27
S07932,C029,2024-08-14
S01164,C013,2023-12-30
S02056,C032,2024-03-18
S03905,C012,2024-10-09
S00412,C014,2025-08-11
S06582,C020,2025-05-23
S01411,C021,2024-01-27
S02445,C036,2025-11-17
S04800,C032,2024-07-27
S06388,C045,2024-06-30
S01869,C018,2024-01-19
S02980,C002,2025-09-27
S03673,C021,2025-09-24
S05898,C026,2025-03-25
S03965,C002,2025-09-21
S04156,C002,2024-10-02
S09934,C009,2025-10-31
S04942,C036,2024-02-05
S06789,C040,2024-12-04
S06467,C030,2024-07-13
S07657,C042,2024-02-27
S07147,C024,2024-12-08
S04827,C029,2025-05-07
S03970,C010,2024-03-03
S09152,C026,2025-10-11
S09054,C048,2025-06-21
S02755,C011,2024-08-09
S05279,C049,2024-05-27
S00001,C020,2024-12-19
S01511,C047,2025-11-04
S07875,C045,2024-12-05
S02341,C001,2025-04-04
S04180,C009,2024-03-31
S09782,C042,2024-05-06
S06609,C039,2024-08-29
S01481,C037,2025-04-06
S05520,C025,2023-12-12
S05018,C021,2024-02-19
S09929,C026,2025-09-08
S05202,C038,2023-12-21
S08749,C019,2025-05-24
S09133,C035,2024-01-01
S04311,C012,2025-04-04
S03902,C018,2025-03-06
S06670,C002,2024-04-20
S00199,C025,2025-08-30
S05912,C046,2024-04-23
S04289,C003,2024-07-01
S04709,C045,2024-01-16
S08307,C039,2023-12-28
S02593,C022,2025-08-12
S04449,C019,2025-08-24
S00716,C023,2024-02-28
S05717,C019,2025-10-14
S03671,C040,2025-05-21
S02249,C012,2025-05-21
S05527,C036,2024-02-25
S07325,C027,2024-04-28
S07007,C040,2025-03-29
S08011,C047,2024-12-08
S09561,C050,2024-10-03
S03932,C044,2025-03-20
S02270,C013,2025-04-18
S07877,C033,2025-08-04
S03598,C026,2024-12-18
S02491,C006,2024-11-04
S09560,C027,2025-06-30
S07139,C043,2024-10-20
S00198,C050,2023-12-27
S00856,C013,2025-03-06
S09035,C039,2025-10-10
S05054,C018,2024-09-13
S09723,C029,2025-07-25
S05002,C013,2024-08-15
S02831,C026,2025-09-15
S05422,C029,2025-11-02
S05988,C046,2025-04-30
S00179,C013,2025-08-06
S02128,C020,2025-06-06
S07916,C019,2024-04-21
S02990,C050,2024-09-29
S02911,C009,2025-05-03
S08803,C048,2023-12-17
S01494,C010,2024-08-31
S00173,C036,2024-01-13
S02576,C034,2025-05-04
S07124,C050,2024-05-13
S05144,C024,2025-07-31
S06677,C033,2024-06-24
S06484,C030,2025-01-30
S07586,C005,2024-11-22
S05523,C003,2024-12-29
S05392,C007,2024-05-06
S07166,C003,2025-02-09
S05502,C012,2024-04-01
S04743,C043,2024-01-16
S05220,C012,2025-10-16
S05891,C038,2025-10-21
S03123,C050,2024-05-06
S04319,C014,2025-10-24
S09744,C006,2025-02-17
S01183,C049,2024-02-12
S00596,C005,2025-10-06
S08934,C020,2025-11-07
S05577,C034,2024-01-21
S09158,C003,2024-12-06
S05670,C034,2024-02-03
S04729,C032,2025-11-24
S01864,C001,2025-05-08
S01572,C013,2025-03-07
S04564,C042,2024-03-12
S02819,C011,2024-03-12
S01682,C013,2025-11-29
S01682,C025,2025-03-23
S06366,C050,2025-10-03
S00189,C040,2024-05-31
S06733,C017,2025-11-11
S07336,C040,2024-10-26
S08807,C038,2023-12-06
S08928,C005,2024-08-29
S09540,C009,2024-04-15
S02233,C016,2023-12-31
S07606,C034,2024-01-21
S01775,C047,2023-12-17
S07513,C041,2024-12-11
S04534,C049,2025-01-31
S08627,C014,2025-05-15
S09606,C043,2025-10-10
S07247,C007,2025-09-11
S07539,C031,2024-02-06
S03998,C035,2025-11-18
S07027,C035,2024-06-12
S03625,C032,2024-07-06
S02007,C013,2023-12-28
S08067,C018,2025-08-17
S02656,C040,2024-01-09
S03810,C014,2025-06-07
S01059,C039,2023-12-18
S06302,C049,2024-11-03
S03157,C011,2025-01-19
S03679,C042,2024-12-10
S01330,C024,2024-05-06
S05601,C012,2024-04-13
S03897,C035,2024-11-25
S01100,C047,2024-06-07
S06253,C010,2025-07-16
S00538,C049,2025-06-13
S07780,C037,2025-01-24
S07904,C023,2025-08-03
S06041,C038,2024-11-27
S02038,C019,2025-07-17
S04334,C009,2025-09-17
S01295,C028,2025-10-31
S02865,C047,2025-09-08
S00725,C045,2025-05-23
S06290,C019,2024-06-17
S00658,C035,2025-10-05
S08949,C035,2024-03-17
S09282,C022,2024-11-19
S04110,C009,2024-05-07
S02113,C011,2023-12-25
S06618,C009,2025-02-19
S03855,C029,2024-02-16
S06211,C009,2024-03-26
S02679,C026,2025-06-23
S04056,C025,2025-01-21
S00573,C025,2024-05-17
S08161,C013,2024-04-06
S05145,C031,2025-10-01
S00678,C029,2025-08-31
S07760,C023,2024-03-03
S03261,C013,2024-01-03
S07675,C029,2024-11-25
S08788,C008,2025-06-14
S05460,C034,2024-06-07
S07295,C029,2024-12-15
S09454,C003,2024-03-24
S02867,C019,2024-02-07
S03443,C023,2024-11-29
S08472,C035,2025-11-09
S08605,C019,2024-10-20
S04598,C035,2025-06-16
S00724,C047,2024-12-05
S02056,C001,2024-12-02
S06041,C017,2025-05-16
S01003,C043,2025-07-30
S04834,C006,2024-12-30
S02730,C038,2025-04-20
S03291,C030,2024-04-30
S03362,C048,2025-02-20
S02146,C033,2024-06-03
S01936,C027,2024-07-30
S09491,C044,2025-07-31
S05271,C016,2023-12-30
S06797,C043,2024-12-25
S03134,C045,2024-10-03
