customer_id,session_duration,video_views,followers,registration_date,total_purchases,avg_order_value,last_login,account_balance,content_posted,membership_duration
52,54min,36K,510K,2022-09-07,15,940.90,2024-11-18,18K,1hr 12min,2yr 3mo
53,3hr 50min,230K,6.3M,2019-03-17,68,3510.40,2024-12-10,277K,5hr 15min,5yr 9mo
54,1hr 36min,96K,1.6M,2021-08-09,28,1510.80,2024-12-08,53K,2hr 18min,3yr 4mo
55,2hr 39min,159K,3.5M,2020-02-27,51,2540.60,2024-12-09,151K,3hr 52min,4yr 10mo
56,1hr 1min,39K,620K,2022-11-25,17,1020.50,2024-11-20,22.5K,1hr 20min,2yr 1mo
57,4hr 13min,253K,7.2M,2019-10-21,73,3710.20,2024-12-11,312K,5hr 48min,5yr 2mo
58,1hr 30min,90K,1.5M,2021-07-14,26,1380.90,2024-12-07,46.5K,2hr 15min,3yr 5mo
59,2hr 26min,146K,3.1M,2020-04-19,47,2320.50,2024-12-09,128K,3hr 38min,4yr 8mo
60,1hr 16min,76K,1.1M,2022-12-11,21,1210.70,2024-11-27,33K,1hr 48min,2yr 0mo
61,4hr 43min,283K,8.1M,2019-12-23,81,4080.30,2024-12-11,380K,6hr 12min,5yr 0mo
62,1hr 56min,116K,2.1M,2021-05-03,34,1750.60,2024-12-08,73K,2hr 48min,3yr 7mo
63,3hr 8min,188K,4.6M,2020-10-28,59,3010.80,2024-12-10,206K,4hr 35min,4yr 2mo
64,56min,37K,540K,2022-02-16,16,960.40,2024-11-19,19.8K,1hr 14min,2yr 10mo
65,4hr 21min,261K,7.4M,2019-06-13,75,3760.90,2024-12-11,325K,5hr 52min,5yr 6mo
66,1hr 39min,99K,1.6M,2021-10-20,29,1550.30,2024-12-07,56.5K,2hr 23min,3yr 2mo
67,2hr 21min,141K,3M,2020-03-22,45,2260.40,2024-12-09,119K,3hr 32min,4yr 9mo
68,1hr 13min,73K,980K,2022-05-09,19,1170.80,2024-11-25,29.5K,1hr 43min,2yr 7mo
69,4hr 2min,242K,6.8M,2019-09-30,70,3590.60,2024-12-10,291K,5hr 28min,5yr 3mo
70,1hr 45min,105K,1.8M,2021-07-23,31,1610.50,2024-12-08,61K,2hr 28min,3yr 5mo
71,2hr 46min,166K,3.7M,2020-12-02,53,2610.70,2024-12-10,161K,4hr 2min,4yr 0mo
72,1hr 8min,68K,890K,2022-06-10,18,1090.60,2024-11-22,25.5K,1hr 32min,2yr 6mo
73,4hr 35min,275K,7.9M,2019-11-03,79,3980.40,2024-12-11,362K,6hr 8min,5yr 1mo
74,1hr 34min,94K,1.5M,2021-04-01,27,1480.70,2024-12-08,50.5K,2hr 16min,3yr 8mo
75,2hr 29min,149K,3.2M,2020-09-25,48,2380.90,2024-12-09,134K,3hr 42min,4yr 3mo
76,1hr 15min,75K,1.1M,2022-11-18,20,1190.50,2024-11-28,31.5K,1hr 46min,2yr 1mo
77,4hr 18min,258K,7.3M,2019-12-26,74,3720.80,2024-12-11,318K,5hr 47min,5yr 0mo
78,1hr 49min,109K,1.9M,2021-05-06,32,1650.40,2024-12-08,64.5K,2hr 32min,3yr 7mo
79,2hr 52min,172K,3.9M,2020-08-18,55,2730.60,2024-12-10,175K,4hr 8min,4yr 4mo
80,1hr 2min,62K,780K,2022-11-03,17,1040.80,2024-11-21,23K,1hr 22min,2yr 1mo
81,4hr 46min,286K,8.2M,2019-05-15,82,4150.70,2024-12-11,392K,6hr 18min,5yr 7mo
82,2hr 0min,120K,2.2M,2021-08-07,35,1810.90,2024-12-08,77K,2hr 52min,3yr 4mo
83,3hr 14min,194K,4.8M,2020-12-08,60,3120.50,2024-12-10,217K,4hr 42min,4yr 0mo
84,58min,37K,550K,2022-04-02,16,980.70,2024-11-19,20.5K,1hr 16min,2yr 8mo
85,4hr 28min,268K,7.6M,2019-08-25,76,3850.60,2024-12-11,338K,5hr 58min,5yr 4mo
86,1hr 37min,97K,1.6M,2021-12-18,28,1530.80,2024-12-08,54K,2hr 19min,3yr 0mo
87,2hr 23min,143K,3M,2020-06-10,46,2310.70,2024-12-09,125K,3hr 36min,4yr 6mo
88,1hr 19min,79K,1.1M,2022-03-01,21,1240.60,2024-11-26,34.5K,1hr 52min,2yr 9mo
89,4hr 32min,272K,7.7M,2019-06-23,78,3910.50,2024-12-11,352K,6hr 2min,5yr 6mo
90,1hr 42min,102K,1.7M,2021-10-08,30,1590.40,2024-12-07,58.5K,2hr 24min,3yr 2mo
91,2hr 43min,163K,3.6M,2020-11-30,52,2580.80,2024-12-10,156.5K,3hr 58min,4yr 0mo
92,1hr 11min,71K,950K,2022-06-23,19,1160.90,2024-11-24,29K,1hr 41min,2yr 6mo
93,4hr 26min,266K,7.5M,2019-04-07,77,3880.70,2024-12-11,344K,5hr 56min,5yr 8mo
94,1hr 29min,89K,1.4M,2021-10-16,26,1410.50,2024-12-07,46K,2hr 14min,3yr 2mo
95,2hr 32min,152K,3.3M,2020-01-23,49,2440.60,2024-12-09,140K,3hr 46min,4yr 11mo
96,1hr 9min,69K,910K,2022-08-16,18,1130.80,2024-11-21,27.5K,1hr 36min,2yr 4mo
97,4hr 14min,254K,7.1M,2019-08-09,73,3680.90,2024-12-11,310K,5hr 49min,5yr 4mo
98,1hr 46min,106K,1.8M,2021-03-20,31,1630.70,2024-12-08,62K,2hr 29min,3yr 9mo
99,2hr 50min,170K,3.8M,2020-12-05,54,2690.50,2024-12-10,169K,4hr 6min,4yr 0mo
100,1hr 17min,76K,1.1M,2022-05-19,20,1200.60,2024-11-28,31.8K,1hr 49min,2yr 7mo
